"CHANGENUMBER","DATE","DOCUMENTNUMBER","OFFICE","TITLE"
"","2023-05-23T05:00:00Z","65-30B","AFS-300","Overview of the Aviation Maintenance Profession"
"","2016-09-28T05:00:00Z","20-160A","AIR-130","Onboard Recording of Controller Pilot Data Link Communication (CPDLC) In Crash Survivable Memory"
"0","2022-09-27T05:00:00Z","150/5200-18D","AAS-300","Airport Safety Self-Inspection"
"","2018-07-05T05:00:00Z","120-49A","AFS-200","Parts 121 and 135 Certification"
"","2020-02-25T05:00:00Z","61-142","AFS-800","Sharing Aircraft Operating Expenses in Accordance with 14 CFR § 61.113 (c)"
"","2022-10-20T05:00:00Z","91-57C","AFS-800","Exception for Limited Recreational Operations of Unmanned Aircraft"
"","2022-09-27T05:00:00Z","450.110-1","AST-1","Physical Containment as a Hazard Control Strategy"
"","2023-06-06T05:00:00Z","90-66C","AFS-800","Non-Towered Airport Flight Operations"
"","2023-08-10T05:00:00Z","450.31-1","AST-1","Applying for FAA Determination on Policy or Payload Reviews"
"","2023-02-14T05:00:00Z","90-89C","AFS-300","Amateur-Built Aircraft and Ultralight Flight Testing Handbook"
"","2016-08-01T05:00:00Z","21-55","AIR-100","Process to Support FAA Findings of Undue Burden or No Undue Burden for PAHs Requesting to Use a Manufacturing Facility Located Outside of the United States"
"","2013-07-16T05:00:00Z","20-155A","AIR-130","Industry Documents To Support Aircraft Lightning Protection Certification"
"","2013-06-25T05:00:00Z","33-2C","ANE-111","General Type Certification Guidelines for Turbine Engines"
"0","2014-10-10T05:00:00Z","150/5380-7B","AAS-100","Airport Pavement Management Program (PMP)"
"","2017-10-06T05:00:00Z","145-9A","AFS-300","Guide for Developing and Evaluating Repair Station and Quality Control Manuals"
"","2014-12-15T05:00:00Z","20-183","AIR-130","Laser Airworthiness Installation Guidance"
"","2014-02-10T05:00:00Z","90-23G","AFS-400","Aircraft Wake Turbulence"
"","2012-03-02T05:00:00Z","39-7D","AFS-300","Airworthiness Directives"
"","2016-08-31T05:00:00Z","61-140A","AFS-800","Autorotation Training"
"0","2019-03-11T05:00:00Z","150/5345-43J","AAS-100","Specification for Obstruction Lighting Equipment"
